siren,division,dateCreationUniteLegale,annee,brevets,CIR,idEti
300560588,20,1900,2016,6.0,0.0,1
302456199,62,1985,2016,1.0,3439257.0,1
304849094,71,1982,2016,0.0,3228087.0,1
305151409,21,1900,2016,4.0,7946000.0,1
306926684,26,1976,2016,0.0,0.0,1
307378489,21,1976,2016,1.0,1636000.0,1
308491521,21,1968,2016,9.0,4363000.0,1
310967294,26,1977,2016,0.0,332945.0,1
311999833,21,1978,2016,2.0,5356000.0,1
314722026,72,1979,2016,199.0,24318501.0,0
319137576,20,1980,2016,17.0,8585647.0,0
319159877,26,1980,2016,2.0,9092000.0,0
319427399,20,1980,2016,0.0,319990.0,1
321391237,71,1981,2016,0.0,441478.0,1
325090728,22,1982,2016,1.0,135000.0,1
325820751,32,1958,2016,35.0,1360000.0,1
326134699,71,1983,2016,0.0,135380.0,1
327153722,29,1983,2016,14.0,1385000.0,0
329403422,25,1984,2016,0.0,505077.0,1
330263948,29,1984,2016,0.0,77968.0,1
332110097,20,1985,2016,26.0,0.0,0
333502680,20,1985,2016,1.0,0.0,1
333707669,22,1985,2016,3.0,630000.0,1
333802767,72,1985,2016,13.0,1683000.0,0
338134737,72,1986,2016,1.0,2571565.0,1
339946469,25,1986,2016,13.0,2080000.0,0
340161595,22,1987,2016,2.0,0.0,1
341148823,25,1987,2016,0.0,150886.0,1
341459386,26,1987,2016,50.0,13267000.0,0
342014990,32,1987,2016,1.0,0.0,1
342192150,29,1987,2016,220.0,3781000.0,0
342500956,71,1987,2016,0.0,0.0,0
344097902,21,1988,2016,8.0,881333.0,1
344436225,72,1988,2016,20.0,7074000.0,0
345004147,25,1988,2016,1.0,181150.0,1
347721482,25,1988,2016,0.0,0.0,1
347947442,22,1988,2016,1.0,15014.0,1
348195199,25,1988,2016,5.0,0.0,1
348390626,25,1988,2016,1.0,0.0,1
349357343,25,1989,2016,1.0,3197042.0,1
351305180,26,1989,2016,1.0,588952.0,1
351372677,22,1989,2016,0.0,396631.0,1
351425921,25,1989,2016,0.0,0.0,1
351667928,22,1989,2016,0.0,611049.0,1
351914379,22,1989,2016,4.0,310000.0,1
352050512,30,1989,2016,48.0,0.0,0
352176721,71,1989,2016,3.0,2860000.0,0
352383715,30,1989,2016,131.0,0.0,0
352876197,71,1989,2016,0.0,9669000.0,0
352905707,62,1989,2016,0.0,1600000.0,0
352948434,29,1989,2016,32.0,489076.0,1
358802296,25,1934,2016,6.0,152150.0,1
378168470,25,1990,2016,8.0,12090000.0,0
378297626,71,1990,2016,0.0,1937534.0,1
379821994,62,1990,2016,0.0,139116.0,1
380344226,25,1990,2016,2.0,0.0,1
383144102,26,1991,2016,0.0,0.0,1
383474814,30,1991,2016,53.0,383347.0,0
383871746,26,1991,2016,0.0,1446000.0,1
383903390,71,1992,2016,1.0,0.0,0
384093563,20,1991,2016,9.0,0.0,1
384811253,29,1992,2016,1.0,88969.0,1
387949530,71,1992,2016,2.0,0.0,1
388056962,22,1992,2016,18.0,999568.0,1
388062796,22,1992,2016,0.0,137193.0,1
388866212,20,1992,2016,1.0,2292000.0,1
389470055,22,1992,2016,3.0,484000.0,1
393135298,62,1993,2016,1.0,0.0,1
394671820,29,1994,2016,2.0,1090095.0,1
399395581,26,1994,2016,70.0,20120.0,0
401791959,71,1995,2016,6.0,1468283.0,1
402222483,21,1995,2016,0.0,14136213.0,0
402261234,26,1995,2016,0.0,303000.0,1
402523088,26,1995,2016,7.0,2000449.0,1
403119431,29,1995,2016,0.0,418300.0,1
403180805,20,1995,2016,2.0,1411976.0,0
403256944,71,1995,2016,39.0,6.4,1
408484277,25,1996,2016,0.0,0.0,1
408720282,32,1996,2016,23.0,3883276.0,1
409722956,29,1996,2016,5.0,812922.0,1
409768520,72,1996,2016,3.0,28300000.0,0
409886496,71,1996,2016,1.0,237000.0,1
410109698,71,1996,2016,1.0,0.0,1
410790448,71,1997,2016,0.0,0.0,1
411018781,71,1997,2016,2.0,93643.0,1
414448464,32,1997,2016,3.0,0.0,1
414815217,30,1997,2016,418.0,0.0,0
414969584,26,1997,2016,92.0,15037000.0,0
415550284,20,1955,2016,4.0,2548000.0,1
415750660,20,1957,2016,1.0,1079000.0,1
417350311,21,1984,2016,10.0,6220000.0,1
418397055,32,1998,2016,3.0,158015.0,1
420154809,71,1998,2016,0.0,102086.0,0
420611386,20,1998,2016,10.0,19944922.0,0
420797433,29,1998,2016,14.0,13299163.0,0
420851651,20,1998,2016,5.0,12639.0,1
420916918,30,1998,2016,305.0,0.0,0
421131368,29,1998,2016,7.0,0.0,1
421454406,20,1998,2016,1.0,827320.0,1
428121818,32,1999,2016,2.0,33841.0,1
428564710,26,1999,2016,3.0,74089.0,1
428610398,26,1999,2016,1.0,0.0,1
429526973,20,2000,2016,0.0,0.0,1
429853351,25,2000,2016,5.0,673812.0,1
430006643,20,2000,2016,6.0,4443684.0,1
430036897,62,2000,2016,0.0,170225.0,0
432032712,20,2000,2016,0.0,696430.0,1
432937464,71,2000,2016,0.0,0.0,1
432938710,62,2000,2016,1.0,0.0,0
433034782,26,2000,2016,2.0,0.0,1
433938883,29,2000,2016,0.0,160613.0,1
434027249,26,2000,2016,6.0,2738126.0,1
435361209,72,2001,2016,2.0,2794000.0,1
437181076,25,1971,2016,3.0,563500.0,1
438834186,29,2001,2016,344.0,5677000.0,0
439436569,20,2001,2016,7.0,990125.0,0
440278539,72,2001,2016,0.0,444887.0,1
440305282,26,2001,2016,74.0,9683000.0,0
440513059,72,2002,2016,21.0,11014000.0,0
441417110,21,2002,2016,3.0,2521000.0,0
441760238,20,2002,2016,0.0,0.0,1
441815198,22,2002,2016,1.0,0.0,1
442587523,71,2002,2016,0.0,0.0,1
442694436,29,2002,2016,27.0,0.0,1
442993283,20,2002,2016,1.0,418000.0,1
443982038,29,2002,2016,10.0,4734558.0,1
444523526,71,2002,2016,0.0,688018.0,1
444719272,26,2003,2016,3.0,1146504.0,1
447761636,20,2003,2016,0.0,4932.0,0
447993445,62,2003,2016,0.0,526205.0,1
448252254,22,2003,2016,0.0,0.0,0
448777920,21,2003,2016,1.0,0.0,1
449065267,20,2003,2016,7.0,25000.0,1
449207414,20,2003,2016,0.0,1500000.0,1
450249677,62,2003,2016,7.0,1649099.0,1
450308564,26,2003,2016,15.0,1404000.0,1
452972649,26,2004,2016,0.0,2421293.0,1
478342579,71,2004,2016,0.0,27847.0,1
479162695,29,2004,2016,204.0,12158000.0,0
480107911,26,2005,2016,124.0,42750000.0,0
480739127,25,2005,2016,3.0,66428.0,1
484853213,71,2005,2016,0.0,0.0,0
487565426,25,2005,2016,0.0,85104.72,1
489267781,22,2006,2016,2.0,32127.0,1
489332908,22,2006,2016,3.0,2181600.0,1
489626135,71,2006,2016,1.0,1000040.46,1
489804930,25,2006,2016,0.0,108000.0,1
489938084,72,2006,2016,1.0,3188132.0,1
491975496,72,2006,2016,2.0,7485000.0,1
494539224,71,2007,2016,1.0,4950014.0,0
500212188,29,2007,2016,0.0,0.0,1
500440813,62,2007,2016,3.0,0.0,0
501161798,29,2007,2016,25.0,2550000.0,0
501537831,71,2007,2016,0.0,0.0,0
501737472,72,2007,2016,1.0,5761242.0,1
504313891,30,2008,2016,3.0,174695.0,1
504940925,72,2008,2016,22.0,28500000.0,0
508955754,72,2008,2016,2.0,0.0,0
509232591,30,2008,2016,5.0,1568000.0,1
509835104,71,2009,2016,0.0,0.0,1
510508716,72,2009,2016,2.0,197192.0,1
515450088,30,1963,2016,19.0,1554000.0,0
515580421,29,1955,2016,0.0,384000.0,1
517702833,20,2009,2016,1.0,0.0,0
519032247,30,2009,2016,69.0,0.0,0
519139273,71,2009,2016,2.0,2015808.0,0
519166888,72,2009,2016,0.0,0.0,1
519874598,62,2010,2016,1.0,1350000.0,0
522713734,25,2010,2016,1.0,36093.0,1
533063889,25,2011,2016,0.0,33000.0,1
534870803,71,2011,2016,0.0,0.0,0
535205660,32,2011,2016,0.0,216430.0,0
538295742,29,2011,2016,1.0,524655.0,0
538465865,29,2011,2016,1.0,77865.0,1
538760125,22,2012,2016,14.0,1584000.0,1
539072793,71,2011,2016,0.0,0.0,0
542065479,29,1954,2016,1251.0,42456000.0,0
542094750,29,1998,2016,0.0,2605000.0,0
544501927,32,1954,2016,4.0,188267.0,1
549800522,71,1954,2016,0.0,0.0,1
552016487,20,1955,2016,14.0,526990.0,0
552081739,22,1955,2016,44.0,0.0,1
552105603,25,1955,2016,1.0,187818.0,1
552134454,22,1955,2016,2.0,169063.0,1
552139677,21,1955,2016,1.0,2294394.0,1
562110965,30,1956,2016,0.0,0.0,1
562128132,20,1900,2016,1.0,524033.0,1
569800873,71,1900,2016,21.0,330.0,0
572051571,25,1957,2016,2.0,226000.0,1
572082253,20,1900,2016,1.0,3940798.0,0
582012340,25,1900,2016,0.0,0.0,1
599815073,20,1900,2016,19.0,2008490.0,1
600801468,22,1960,2016,1.0,256234.98,1
602033185,62,1960,2016,8.0,3075000.0,1
605620442,32,1956,2016,7.0,0.0,1
612039495,26,1961,2016,0.0,0.0,0
622037083,20,1977,2016,116.0,20735200.0,0
630800084,30,1963,2016,8.0,0.0,0
642005177,20,1973,2016,0.0,0.0,1
646050476,25,1960,2016,2.0,0.0,1
652025370,29,1985,2016,20.0,1370000.0,0
662001403,71,1966,2016,45.0,5817000.0,1
662025006,22,1966,2016,0.0,0.0,1
662037704,20,1983,2016,1.0,0.0,1
662043405,30,1900,2016,1.0,5565109.7,0
667280143,29,1972,2016,0.0,0.0,1
673620399,20,1967,2016,54.0,18400000.0,0
676250111,21,1962,2016,1.0,0.0,1
682008222,71,1968,2016,0.0,283015.0,1
685550444,71,1955,2016,1.0,70109.0,1
709806079,30,1982,2016,5.0,0.0,1
709806624,22,1970,2016,1.0,0.0,1
709807408,21,1900,2016,0.0,250000.0,1
719803249,22,1971,2016,1.0,125622.0,1
720501410,20,1972,2016,3.0,1127079.0,1
722045879,71,1985,2016,8.0,4209000.0,1
759200454,22,1959,2016,0.0,531000.0,1
768200610,25,1958,2016,2.0,0.0,0
775424914,29,1973,2016,3.0,1143000.0,0
775580434,20,1958,2016,4.0,804120.7,1
775662257,21,1973,2016,0.0,0.0,0
777346412,32,1965,2016,6.0,786008.0,1
778127613,30,1970,2016,13.0,2800000.0,0
778151944,22,1960,2016,0.0,0.0,1
785506338,30,1900,2016,1.0,0.0,1
790020846,71,2012,2016,0.0,712413.0,1
790503973,62,2013,2016,0.0,42172.0,0
791567092,22,2013,2016,0.0,936908.0,1
796380426,25,1963,2016,0.0,453000.0,1
799325246,72,2013,2016,7.0,3571.0,0
871500229,22,1971,2016,4.0,98259.0,1
897080289,26,1970,2016,12.0,2070422.0,1
950020180,32,1980,2016,1.0,26047.0,1
954506077,29,1954,2016,0.0,21700000.0,0
957503642,32,1957,2016,0.0,0.0,1
300560588,20,1900,2017,3.0,368934.0,1
302456199,62,1985,2017,0.0,812647.0,1
304849094,71,1982,2017,0.0,9739588.0,1
305151409,21,1900,2017,5.0,23777000.0,1
306926684,26,1976,2017,1.0,0.0,1
307378489,21,1976,2017,2.0,1500000.0,1
308491521,21,1968,2017,4.0,6073.0,1
310967294,26,1977,2017,0.0,440017.0,1
311999833,21,1978,2017,1.0,4793000.0,1
314722026,72,1979,2017,132.0,25989607.0,0
319137576,20,1980,2017,12.0,8466464.0,0
319159877,26,1980,2017,1.0,30440000.0,0
319427399,20,1980,2017,0.0,250969.0,1
321391237,71,1981,2017,0.0,487377.0,1
325090728,22,1982,2017,0.0,0.0,1
325820751,32,1958,2017,12.0,1685000.0,1
326134699,71,1983,2017,1.0,333107.0,1
327153722,29,1983,2017,10.0,1660000.0,0
329403422,25,1984,2017,1.0,604991.0,1
330263948,29,1984,2017,0.0,77968.0,1
332110097,20,1985,2017,24.0,0.0,0
333502680,20,1985,2017,2.0,0.0,1
333707669,22,1985,2017,1.0,0.0,1
333802767,72,1985,2017,10.0,1792000.0,0
338134737,72,1986,2017,0.0,2805304.0,1
339946469,25,1986,2017,6.0,1500000.0,0
340161595,22,1987,2017,1.0,298587.0,1
341148823,25,1987,2017,0.0,0.0,1
341459386,26,1987,2017,32.0,15411000.0,0
342014990,32,1987,2017,0.0,0.0,1
342192150,29,1987,2017,111.0,3985000.0,0
342500956,71,1987,2017,1.0,0.0,0
344097902,21,1988,2017,12.0,560469.0,1
344436225,72,1988,2017,15.0,7940000.0,0
345004147,25,1988,2017,0.0,209087.0,1
347721482,25,1988,2017,0.0,285009.0,1
347947442,22,1988,2017,0.0,19852.0,1
348195199,25,1988,2017,0.0,74545.0,1
348390626,25,1988,2017,0.0,0.0,1
349357343,25,1989,2017,0.0,2758536.0,1
351305180,26,1989,2017,0.0,639592.0,1
351372677,22,1989,2017,2.0,426037.0,1
351425921,25,1989,2017,0.0,0.0,1
351667928,22,1989,2017,0.0,347862.0,1
351914379,22,1989,2017,1.0,367000.0,1
352050512,30,1989,2017,60.0,0.0,0
352176721,71,1989,2017,2.0,3270000.0,0
352383715,30,1989,2017,86.0,0.0,0
352876197,71,1989,2017,0.0,8465000.0,0
352905707,62,1989,2017,2.0,2846000.0,0
352948434,29,1989,2017,8.0,397770.0,1
358802296,25,1934,2017,7.0,170000.0,1
378168470,25,1990,2017,4.0,11630000.0,0
378297626,71,1990,2017,0.0,1758941.0,1
379821994,62,1990,2017,1.0,4533800.0,1
380344226,25,1990,2017,0.0,0.0,1
383144102,26,1991,2017,1.0,0.0,1
383474814,30,1991,2017,40.0,33630000.0,0
383871746,26,1991,2017,1.0,1475000.0,1
383903390,71,1992,2017,0.0,0.0,0
384093563,20,1991,2017,2.0,0.0,1
384811253,29,1992,2017,1.0,110161.0,1
387949530,71,1992,2017,2.0,0.0,1
388056962,22,1992,2017,5.0,1394117.0,1
388062796,22,1992,2017,1.0,169323.0,1
388866212,20,1992,2017,2.0,2124000.0,1
389470055,22,1992,2017,1.0,591000.0,1
393135298,62,1993,2017,1.0,0.0,1
394671820,29,1994,2017,3.0,1198859.0,1
399395581,26,1994,2017,58.0,19987000.0,0
401791959,71,1995,2017,4.0,1455276.0,1
402222483,21,1995,2017,0.0,946189.0,0
402261234,26,1995,2017,0.0,393000.0,1
402523088,26,1995,2017,0.0,2196179.0,1
403119431,29,1995,2017,0.0,0.0,1
403180805,20,1995,2017,0.0,1484106.0,0
403256944,71,1995,2017,38.0,4400000.0,1
408484277,25,1996,2017,0.0,0.0,1
408720282,32,1996,2017,13.0,3954567.0,1
409722956,29,1996,2017,2.0,789411.0,1
409768520,72,1996,2017,11.0,9711000.0,0
409886496,71,1996,2017,1.0,120000.0,1
410109698,71,1996,2017,3.0,0.0,1
410790448,71,1997,2017,0.0,0.0,1
411018781,71,1997,2017,0.0,89786.0,1
414448464,32,1997,2017,1.0,0.0,1
414815217,30,1997,2017,542.0,50262.0,0
414969584,26,1997,2017,88.0,12338000.0,0
415550284,20,1955,2017,3.0,0.0,1
415750660,20,1957,2017,1.0,1047000.0,1
417350311,21,1984,2017,1.0,7566000.0,1
418397055,32,1998,2017,2.0,129448.0,1
420154809,71,1998,2017,1.0,90921.0,0
420611386,20,1998,2017,11.0,19444764.0,0
420797433,29,1998,2017,16.0,13825628.0,0
420851651,20,1998,2017,1.0,4200.0,1
420916918,30,1998,2017,189.0,0.0,0
421131368,29,1998,2017,4.0,2323328.0,1
421454406,20,1998,2017,0.0,0.0,1
428121818,32,1999,2017,0.0,53882.0,1
428564710,26,1999,2017,0.0,354057.0,1
428610398,26,1999,2017,0.0,0.0,1
429526973,20,2000,2017,0.0,0.0,1
429853351,25,2000,2017,2.0,2467702.0,1
430006643,20,2000,2017,10.0,5224920.0,1
430036897,62,2000,2017,0.0,50939.42,0
432032712,20,2000,2017,1.0,515151.0,1
432937464,71,2000,2017,2.0,0.0,1
432938710,62,2000,2017,0.0,149933.0,0
433034782,26,2000,2017,7.0,418940.0,1
433938883,29,2000,2017,0.0,126473.0,1
434027249,26,2000,2017,0.0,359843.0,1
435361209,72,2001,2017,1.0,1400000.0,1
437181076,25,1971,2017,0.0,643215.0,1
438834186,29,2001,2017,163.0,6050000.0,0
439436569,20,2001,2017,2.0,293340.0,0
440278539,72,2001,2017,0.0,389611.0,1
440305282,26,2001,2017,45.0,14485000.0,0
440513059,72,2002,2017,33.0,5531000.0,0
441417110,21,2002,2017,1.0,3417.0,0
441760238,20,2002,2017,0.0,910569.0,1
441815198,22,2002,2017,0.0,0.0,1
442587523,71,2002,2017,1.0,4402.0,1
442694436,29,2002,2017,23.0,14943000.0,1
442993283,20,2002,2017,0.0,0.0,1
443982038,29,2002,2017,3.0,6118964.0,1
444523526,71,2002,2017,0.0,574704.0,1
444719272,26,2003,2017,6.0,790000.0,1
447761636,20,2003,2017,1.0,0.0,0
447993445,62,2003,2017,0.0,527815.0,1
448252254,22,2003,2017,0.0,0.0,0
448777920,21,2003,2017,0.0,0.0,1
449065267,20,2003,2017,1.0,0.0,1
449207414,20,2003,2017,3.0,800000.0,1
450249677,62,2003,2017,4.0,2547794.0,1
450308564,26,2003,2017,5.0,1665000.0,1
452972649,26,2004,2017,2.0,3460000.0,1
478342579,71,2004,2017,0.0,0.0,1
479162695,29,2004,2017,81.0,9296000.0,0
480107911,26,2005,2017,73.0,5639.0,0
480739127,25,2005,2017,2.0,0.0,1
484853213,71,2005,2017,1.0,0.0,0
487565426,25,2005,2017,0.0,221000.0,1
489267781,22,2006,2017,0.0,27148.0,1
489332908,22,2006,2017,0.0,0.0,1
489626135,71,2006,2017,0.0,1121320.76,1
489804930,25,2006,2017,1.0,88000.0,1
489938084,72,2006,2017,0.0,5693000.0,1
491975496,72,2006,2017,0.0,6241.0,1
494539224,71,2007,2017,0.0,5218000.0,0
500212188,29,2007,2017,0.0,313334.0,1
500440813,62,2007,2017,0.0,11077656.0,0
501161798,29,2007,2017,1.0,2933000.0,0
501537831,71,2007,2017,1.0,0.0,0
501737472,72,2007,2017,0.0,0.0,1
